model,tex_label,variant,gg23_model,n_evaluated,importance_ess,single_bic,two_raw_bic_sampled_best,two_conditional_bic_sampled_best,delta_bic_raw_sampled_best,delta_bic_conditional_sampled_best,partition_constant,best_two_log_likelihood,single_n0_q16,single_n0_q50,single_n0_q84,single_mass_q16,single_mass_q50,single_mass_q84,two_n0_q16,two_n0_q50,two_n0_q84,in_situ_n0_q16,in_situ_n0_q50,in_situ_n0_q84,accreted_n0_q16,accreted_n0_q50,accreted_n0_q84,two_mass_q16,two_mass_q50,two_mass_q84,in_situ_mass_q16,in_situ_mass_q50,in_situ_mass_q84,accreted_mass_q16,accreted_mass_q50,accreted_mass_q84,f_acc_q16,f_acc_q50,f_acc_q84,single_n0_tex,two_n0_tex,in_situ_n0_tex,accreted_n0_tex,two_mass_tex,in_situ_mass_tex,accreted_mass_tex,f_acc_tex,delta_bic_conditional_tex,ess_tex
GG23 no BHs,GG23 no BHs,gg23_schechter_no_bh_logpoly3_eta01_105,gg23_no_bh,60,23.1531644839252,-910.7865199671395,-853.4679447722309,-1061.9645668608355,57.31857519490859,-151.17804689369598,104.24831104430228,447.15775428171776,1126.1224763463017,1575.8089067377787,2477.827948505158,332223469.07649183,373441873.5791037,498487701.22202766,1031.1785301512443,1317.4478473111776,2039.6435018897062,935.5609493536618,1190.435456225254,1889.6537408205477,106.95845908983925,123.60326327942927,150.01023800284324,281763147.45882165,356562141.0859817,387363577.81585646,256334962.55565527,322950231.4170336,355203212.7268056,24497189.97351042,33172021.31926342,35627883.0183851,0.07337160344225878,0.09560288436479225,0.10584973059735894,1576$^{+902}_{-450}$,1317$^{+722}_{-286}$,1190$^{+699}_{-255}$,124$^{+26}_{-17}$,3.57$^{+0.31}_{-0.75}$,3.23$^{+0.32}_{-0.67}$,0.33$^{+0.02}_{-0.09}$,0.096$^{+0.010}_{-0.022}$,-151.2,23
GG23 BHs,GG23 BHs,gg23_schechter_bh_logpoly3,gg23_bh,60,31.637477010341424,-901.5347353123121,-844.640482576905,-1053.1371046655095,56.89425273540712,-151.60236935319733,104.24831104430228,442.7440231840548,1493.71877830376,1823.3316739988445,2504.6023830681,290326291.4197383,332156818.36273426,377697174.6148456,1486.0294081911095,1768.6818007620975,2256.4450551879313,1359.7606555898963,1628.6060713719323,2102.1165161670333,127.29859491781944,143.50153423731618,155.69999677178893,283180422.37810767,323316167.5536698,363468698.57531244,260053819.96158552,297523468.5142877,335920889.6018766,20938001.754918005,24752090.23519547,28281264.10176846,0.06697539337068717,0.0775389528480024,0.08746701560175321,1823$^{+681}_{-330}$,1769$^{+488}_{-283}$,1629$^{+474}_{-269}$,144$^{+12}_{-16}$,3.23$^{+0.40}_{-0.40}$,2.98$^{+0.38}_{-0.37}$,0.25$^{+0.04}_{-0.04}$,0.078$^{+0.010}_{-0.011}$,-151.6,32
GG23 BHs + [Fe/H],GG23 BHs + [Fe/H],gg23_schechter_bh_feh_gradient_logpoly3,gg23_bh_feh_gradient,60,3.6091271501970477,-929.3898279649727,-872.1219884580703,-1080.618610546675,57.26783950690242,-151.22878258170226,104.24831104430228,456.48477612463745,991.1186556294992,1345.984715715605,1741.3997790879446,186443602.9391206,224178296.56501207,291195125.64838696,1064.16123951775,1280.7773799529402,1368.421581920216,895.5113263396746,1091.3483821665297,1172.538416294841,172.86984242977738,194.73900086217444,210.09413170428203,191230519.7620731,234592078.9817852,247322857.84791014,159852435.42598212,201215788.81872046,213126709.05012345,30031412.065295424,35741768.771986894,35799253.150632925,0.14787919884289477,0.1509603378553312,0.16405665132821665,1346$^{+395}_{-355}$,1281$^{+88}_{-217}$,1091$^{+81}_{-196}$,195$^{+15}_{-22}$,2.35$^{+0.13}_{-0.43}$,2.01$^{+0.12}_{-0.41}$,0.36$^{+0.00}_{-0.06}$,0.151$^{+0.013}_{-0.003}$,-151.2,4
GG23 BHs + past tides,GG23 BHs + past tides,gg23_schechter_bh_past_tidal_logpoly3,gg23_bh_past_tidal,60,50.72343124063485,-947.5677919255355,-890.8096465560285,-1099.306268644633,56.75814536950702,-151.73847671909755,104.24831104430228,465.82860517361655,2531.723745061196,3467.1490289628955,4965.653168588042,341577236.48240274,413494840.0545454,492535987.9875899,2424.8207024976587,3519.8419655304174,4636.27019321235,2212.0196132300034,3252.963577701496,4330.648517727475,206.80366801122335,262.73142027099806,309.1352448629679,334311909.9467949,425493188.1330325,550644449.0458047,305945620.87486124,397795288.233517,512808771.3400051,27429740.21387658,30398366.219054814,36470735.112434715,0.06506153085925029,0.07461692369483995,0.08432775374379949,3467$^{+1499}_{-935}$,3520$^{+1116}_{-1095}$,3253$^{+1078}_{-1041}$,263$^{+46}_{-56}$,4.25$^{+1.25}_{-0.91}$,3.98$^{+1.15}_{-0.92}$,0.30$^{+0.06}_{-0.03}$,0.075$^{+0.010}_{-0.010}$,-151.7,51
GG23 BHs + [Fe/H] + past tides,GG23 BHs + [Fe/H] + past tides,gg23_schechter_bh_feh_gradient_past_tidal_logpoly3,gg23_bh_feh_gradient_past_tidal,60,59.94559636909084,-977.2542778346832,-920.4644273512174,-1128.961049439822,56.789850483465784,-151.7067716051389,104.24831104430228,480.655995571211,2395.5099554112803,3673.936086267073,5489.268059908497,444509419.8597607,539537568.5325432,663421304.10767,2053.970940071856,3456.43243200563,6067.4793441097945,1684.9907531787428,2912.10314441584,5136.285764653285,352.11068591979165,537.1105173474973,909.8826497729779,416429510.67083216,532670477.9783547,672150892.4902138,347781756.549057,442890558.2384262,571830495.4947674,70170956.19074193,85815796.53539869,101781492.21747538,0.146980968456058,0.15708778139096177,0.17409830302342857,3674$^{+1815}_{-1278}$,3456$^{+2611}_{-1402}$,2912$^{+2224}_{-1227}$,537$^{+373}_{-185}$,5.33$^{+1.39}_{-1.16}$,4.43$^{+1.29}_{-0.95}$,0.86$^{+0.16}_{-0.16}$,0.157$^{+0.017}_{-0.010}$,-151.7,60
