model,tex_label,variant,eta_t_q16,eta_t_q50,eta_t_q84,alpha_q16,alpha_q50,alpha_q84,logmc_q16,logmc_q50,logmc_q84,n0_q16,n0_q50,n0_q84,m0_q16,m0_q50,m0_q84,eta_t_tex,alpha_tex,logmc_tex,n0_tex,m0_1e8_tex
Baumgardt 2019,Baumgardt 2019,profile_map_and_exact_mcmc_schechter_logpoly3_logistic_global_monotonic_q,0.9520974780480796,1.167769965774697,1.4887241977332626,-1.3734720870314898,-1.210249943871491,-1.049733597955227,6.236841475401918,6.324943416008279,6.4160680240936845,1004.4534526668828,1721.7520577134733,3200.8248196154445,371682829.36150306,470702081.2756776,622321102.6601954,1.17$^{+0.32}_{-0.22}$,-1.21$^{+0.16}_{-0.16}$,6.32$^{+0.09}_{-0.09}$,1722$^{+1479}_{-717}$,4.71$^{+1.52}_{-0.99}$
GG23 no BHs,GG23 no BHs,gg23_schechter_no_bh_logpoly3_eta01_105,0.36707461177366424,0.3961022739563147,0.49583672712036575,-1.436346497802109,-1.3254729678926649,-1.1861805056958727,6.264886868114364,6.4274408688303994,6.579517629872725,1126.1224763463017,1575.8089067377787,2477.827948505158,332223469.07649183,373441873.5791037,498487701.22202766,0.40$^{+0.10}_{-0.03}$,-1.33$^{+0.14}_{-0.11}$,6.43$^{+0.15}_{-0.16}$,1576$^{+902}_{-450}$,3.73$^{+1.25}_{-0.41}$
GG23 BHs,GG23 BHs,gg23_schechter_bh_logpoly3,1.0752201446708478,1.1851874428910039,1.2837085997969682,-1.5402283991702046,-1.4458414609248853,-1.3670495800001936,6.350346174524729,6.455179164626338,6.599457046186161,1493.71877830376,1823.3316739988445,2504.6023830681,290326291.4197383,332156818.36273426,377697174.6148456,1.19$^{+0.10}_{-0.11}$,-1.45$^{+0.08}_{-0.09}$,6.46$^{+0.14}_{-0.10}$,1823$^{+681}_{-330}$,3.32$^{+0.46}_{-0.42}$
GG23 BHs + [Fe/H],GG23 BHs + [Fe/H],gg23_schechter_bh_feh_gradient_logpoly3,0.6209782062142545,0.7705614086922287,0.8849903862648538,-1.43119346237121,-1.302833898431401,-1.12646619313144,6.057556781526914,6.159524669896503,6.309931677706425,991.1186556294992,1345.984715715605,1741.3997790879446,186443602.9391206,224178296.56501207,291195125.64838696,0.77$^{+0.11}_{-0.15}$,-1.30$^{+0.18}_{-0.13}$,6.16$^{+0.15}_{-0.10}$,1346$^{+395}_{-355}$,2.24$^{+0.67}_{-0.38}$
GG23 BHs + past tides,GG23 BHs + past tides,gg23_schechter_bh_past_tidal_logpoly3,1.1219596773295843,1.1932668488864342,1.3244938507597392,-1.7188815819137602,-1.6271390569589324,-1.5330876754008336,6.370580274509442,6.499648555401742,6.672932441635726,2531.723745061196,3467.1490289628955,4965.653168588042,341577236.48240274,413494840.0545454,492535987.9875899,1.19$^{+0.13}_{-0.07}$,-1.63$^{+0.09}_{-0.09}$,6.50$^{+0.17}_{-0.13}$,3467$^{+1499}_{-935}$,4.13$^{+0.79}_{-0.72}$
GG23 BHs + [Fe/H] + past tides,GG23 BHs + [Fe/H] + past tides,gg23_schechter_bh_feh_gradient_past_tidal_logpoly3,0.4231320940283637,0.47974531955966565,0.5403565998745297,-1.6467817415723827,-1.4905284991185606,-1.3190590048818287,6.2594810842810125,6.390815656194931,6.545238259495602,2395.5099554112803,3673.936086267073,5489.268059908497,444509419.8597607,539537568.5325432,663421304.10767,0.48$^{+0.06}_{-0.06}$,-1.49$^{+0.17}_{-0.16}$,6.39$^{+0.15}_{-0.13}$,3674$^{+1815}_{-1278}$,5.40$^{+1.24}_{-0.95}$
